Street Address,City,State,Zip,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,Source,Census Year,State FIPS,County FIPS,Place Name,Place FIPS,Census Tract Code,Census Block Code,Census Block Group,Full FIPS,test_site_source
"1030 Colorado Boulevard, Eagle Rock, CA 90041",,,,34.137473,-118.188766,1,rooftop,1030,Colorado Blvd,Los Angeles,CA,Los Angeles County,90041,US,Los Angeles,2019,6,6037,Los Angeles,644000,181000,1045,1,6.03718E+13,giscorps
"1030 W. Gardena Blvd., Gardena, CA 90247",,,,33.881283,-118.292543,1,rooftop,1030,W Gardena Blvd,Gardena,CA,Los Angeles County,90247,US,Los Angeles,2019,6,6037,Gardena,628168,603102,1001,1,6.0376E+13,giscorps
"10300 Compton Ave., Los Angeles, CA 90002",,,,33.942961,-118.246057,1,rooftop,10300,Compton Ave,Los Angeles,CA,Los Angeles County,90002,US,Los Angeles,2019,6,6037,Los Angeles,644000,242700,5003,5,6.03724E+13,giscorps
"10301 S Avalon Blvd., Los Angeles, CA 90003",,,,33.942688,-118.265088,1,range_interpolation,10301,S Avalon Blvd,Los Angeles,CA,Los Angeles County,90003,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,Los Angeles,644000,240600,2008,2,6.03724E+13,giscorps
"10301 S. Avalon Blvd., Los Angeles, CA 90003",,,,33.942688,-118.265088,1,range_interpolation,10301,S Avalon Blvd,Los Angeles,CA,Los Angeles County,90003,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,Los Angeles,644000,240600,2008,2,6.03724E+13,giscorps
"1038 E Colorado Blvd., Pasadena, CA 91106",,,,34.145537,-118.128952,1,rooftop,1038,E Colorado Blvd,Pasadena,CA,Los Angeles County,91106,US,Los Angeles,2019,6,6037,Pasadena,656000,463500,3000,3,6.03746E+13,giscorps
"10408 Vacco St., Suite A South El Monte, CA 91733",,,,34.047199,-118.044714,1,range_interpolation,10408,Vacco St,South El Monte,CA,Los Angeles County,91733,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,South El Monte,672996,433700,1011,1,6.03743E+13,giscorps
"10418 Valley Blvd Ste B, El Monte, CA 91731-3600",,,,34.076375,-118.045999,1,range_interpolation,10418,Valley Blvd,El Monte,CA,Los Angeles County,91731,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,El Monte,622230,432801,2004,2,6.03743E+13,giscorps
"10420 Valley Blvd Ste A, El Monte, CA 91731-2402",,,,34.076369,-118.045963,1,range_interpolation,10420,Valley Blvd,El Monte,CA,Los Angeles County,91731,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,El Monte,622230,432801,2004,2,6.03743E+13,giscorps
"1050 Linden Ave, Long Beach, CA 90813",,,,33.779968,-118.185853,1,rooftop,1050,Linden Ave,Long Beach,CA,Los Angeles County,90813,US,City of Long Beach,2019,6,6037,Long Beach,643000,576301,4012,4,6.03758E+13,giscorps
"1057 Pine Ave, Long Beach, CA 90813-3118",,,,33.780107,-118.192758,1,rooftop,1057,Pine Ave,Long Beach,CA,Los Angeles County,90813,US,City of Long Beach,2019,6,6037,Long Beach,643000,575803,1009,1,6.03758E+13,giscorps
"1060 Exposition Blvd Los Angeles, CA 90007",,,,34.018069,-118.293323,1,rooftop,1060,Exposition Blvd,Los Angeles,CA,Los Angeles County,90007,US,Los Angeles,2019,6,6037,Los Angeles,644000,231220,1001,1,6.03723E+13,giscorps
"10630 Sepulveda Blvd., #100, Mission Hills, CA 91345",,,,34.263301,-118.467177,1,range_interpolation,10630,Sepulveda Blvd,Mission Hills,CA,Los Angeles County,91345,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,Los Angeles,644000,109604,3004,3,6.03711E+13,giscorps
"1064 Queens Hwy, Long Beach, CA, 90802",,,,33.753434,-118.194126,1,range_interpolation,1064,Queens Hwy,Long Beach,CA,Los Angeles County,90802,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,Long Beach,643000,980033,1098,1,6.03798E+13,giscorps
"107 South Long Beach Blvd., Compton, CA 90221",,,,33.895072,-118.208372,1,rooftop,107,S Long Beach Blvd,Compton,CA,Los Angeles County,90221,US,Los Angeles,2019,6,6037,Compton,615044,542401,1005,1,6.03754E+13,giscorps
"10750 Laurel Ave, Whittier, CA 90605-3282",,,,33.936284,-118.04869,1,range_interpolation,10750,Laurel Ave,Whittier,CA,Los Angeles County,90605,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,Santa Fe Springs,669154,502902,2014,2,6.0375E+13,giscorps
"10889 Wellworth Avenue, Los Angeles, CA 90024",,,,34.057198,-118.442305,1,rooftop,10889,Wellworth Ave,Los Angeles,CA,Los Angeles County,90024,US,Los Angeles,2019,6,6037,Los Angeles,644000,265510,1001,1,6.03727E+13,giscorps
